address,category,name,symbol,OT,MT,Failing tests OT,Failing tests MT,% OTf,% MTf,OT duration,MT duration
0x2604FA406Be957E542BEb89E6754fCdE6815e83f,[A8],Playkey Token,PKT,OK,OK,3,2,4.84,5.88,20.23s,17.21s
0x26D5Bd2dfEDa983ECD6c39899e69DAE6431Dffbb,[B1][B7],ERC20,ERC,OK,OK,22,11,35.48,32.35,18.89s,16.48s
0x27f706edde3aD952EF647Dd67E24e38CD0803DD6,[A10],Useless Ethereum Token,UET,OK,OK,32,18,51.60999999999999,52.94,15.87s,5.55s
0x28c8d01FF633eA9Cd8fc6a451D7457889E698de6,[B5],ethereum-gold,ETG,OK,OK,7,4,11.29,11.76,18.19s,15.86s
0x2A05d22DB079BC40C2f77a1d1fF703a56E631cc1,[A2][A6][B1][B7],BitAsean,BAS,OK,OK,9,4,14.520000000000001,11.76,18.82s,16.86s
0x2Ef27BF41236bD859a95209e17a43Fbd26851f92,[A14],MORPH,MORPH,OK,OK,53,32,85.48,94.12,33.87s,22.66s
0x2bDC0D42996017fCe214b21607a515DA41A9E0C5,[B1][B2][B3],SkinCoin,SKIN,OK,OK,8,5,12.9,14.71,19.35s,16.87s
0x2f85E502a988AF76f7ee6D83b7db8d6c0A823bf9,[B1],LatiumX,LATX,OK,OK,43,20,69.35,58.82,7.47s,6.03s
0x336F646F87D9f6bC6Ed42Dd46E8b3fD9DbD15C22,[B1][B2][B3],Crystal Clear Token,CCT,OK,OK,14,5,22.58,14.71,18.26s,16.90s
0x3543638eD4a9006E4840B105944271Bcea15605D,[B1][B7],UNetworkToken,UUU,OK,OK,22,11,35.48,32.35,18.63s,16.62s
0x355a458d555151D3B27F94227960Ade1504E526a,[B1],StockChain Coin,SCC,OK,OK,22,11,35.48,32.35,18.95s,16.84s
0x3893b9422Cd5D70a81eDeFfe3d5A1c6A978310BB,[B1][B2],Mithril Token,MITH,OK,OK,39,22,62.9,64.71,17.36s,5.01s
0x38c6A68304cdEfb9BEc48BbFaABA5C5B47818bb2,[B1][B2][B3][B4][B5][B6],high-performance-blockchain,HPB,OK,OK,8,5,12.9,14.71,19.68s,17.40s
0x422866a8F0b032c5cf1DfBDEf31A20F4509562b0,[B1][B2][B3],Adshares Token,ADST,OK,OK,8,5,12.9,14.71,20.82s,18.42s
0x4270bb238f6DD8B1c3ca01f96CA65b2647c06D3C,[B1],FOTA,FOTA,OK,OK,22,11,35.48,32.35,19.49s,17.36s
0x4355fC160f74328f9b383dF2EC589bB3dFd82Ba0,[B1][B2][B3],Opus Token,OPT,OK,OK,12,6,19.35,17.65,19.63s,18.06s
0x449574C69f3A658794829eD81639A7A9ECe041E1,[B5],neo-gold,NEOG,OK,OK,8,5,12.9,14.71,18.90s,16.39s
0x461733c17b0755CA5649B6DB08B3E213FCf22546,[A15][A16],atn,ATN,OK,OK,9,5,14.520000000000001,14.71,24.49s,21.22s
0x46b9Ad944d1059450Da1163511069C718F699D31,[B1],CREDITS,CS,OK,OK,38,22,61.29,64.71,8.32s,6.00s
0x48DF4E0296f908CEAb0428A5182D19B31fC037d6,[B1][B7],Fitrova,FRV,OK,OK,22,11,35.48,32.35,19.33s,17.02s
0x4DC3643DbC642b72C158E7F3d2ff232df61cb6CE,[A2],Amber Token,AMB,OK,OK,8,5,12.9,14.71,18.15s,16.98s
0x4DF47B4969B2911C966506E3592c41389493953b,[B7],FundRequest,FND,OK,OK,53,30,85.48,88.24,2.46s,2.10s
0x4aF328C52921706dCB739F25786210499169AFe6,[B1][B7],Sakura Bloom,SKB,OK,OK,22,11,35.48,32.35,19.34s,16.47s
0x4f3AfEC4E5a3F2A6a1A411DEF7D7dFe50eE057bF,[B7],Digix Gold Token,DGX,OK,OK,54,33,87.09999999999998,97.06,3.05s,4.13s
0x5046E860ff274fb8c66106B0Ffb8155849fB0787,[A8],JavaScript,JS,OK,OK,22,12,35.48,35.29,19.07s,16.71s
0x5121E348e897dAEf1Eef23959Ab290e5557CF274,[A6][B1][B7],PolyAi,AI,OK,OK,11,5,16.666666666666668,14.71,20.16s,17.26s
0x5136C98A80811C3f46bDda8B5c4555CFd9f812F0,[A19],indaHash Coin,IDH,OK,OK,13,6,20.97,17.65,22.16s,19.22s
0x52DB8ebF894036ec997Da693C5fa237A4fb69d10,[B1][B7],Curriculum Vitae,CVH,OK,OK,22,11,35.48,32.35,18.64s,16.05s
0x55296f69f40Ea6d20E478533C15A6B08B654E758,[B1],XY Oracle,XYO,OK,OK,22,11,35.48,32.35,19.09s,16.78s
0x55F93985431Fc9304077687a35A1BA103dC1e081,[A12][A13][A16][A3],SmartMesh Token,SMT,OK,OK,39,23,62.9,67.65,8.15s,5.72s
0x56ba2Ee7890461f463F7be02aAC3099f6d5811A8,[B1][B2][B3],BlockCAT Token,CAT,OK,OK,8,5,12.9,14.71,21.06s,17.78s
0x59061b6f26BB4A9cE5828A19d35CFD5A4B80F056,[A2][B2],Legends,LGD,OK,OK,58,31,93.55,91.18,1.23s,1.86s
0x5E6b6d9aBAd9093fdc861Ea1600eBa1b355Cd940,[B1][B7],IOT on Chain,ITC,OK,OK,22,11,35.48,32.35,17.86s,15.84s
